country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,12B,12B,12B,11.9B,11.9B,11.9B,11.9B,11.8B,12.1B,14.5B,14.5B,16.8B,17.6B,17.6B,17.7B,16.4B,19.6B,19.6B,20.5B,21.3B,22.1B,22.2B,22.7B,23.4B,23.4B,23.4B,22.8B,23.9B,25.2B,25.2B,28.1B,28.6B,28.7B,28.9B,28.9B,28.5B,28.7B,28.7B,28.8B,28.8B
Iraq,665M,661M,697M,702M,699M,702M,702M,855M,2.3B,2.66B,2.66B,2.65B,2.65B,2.65B,2.66B,2.87B,2.87B,2.73B,2.73B,2.81B,2.66B,2.66B,2.73B,2.71B,2.71B,2.71B,2.71B,2.71B,2.71B,2.71B,2.71B,3.07B,2.7B,2.7B,2.7B,2.7B,3.27B,3.2B,3.19B,3.19B
Israel,2.59M,1.73M,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,864k,1.73M,38.9M,38.9M,38.9M,40.6M,40.6M,38.9M,38.9M,38M,38M,77.8M,175M,175M,175M,168M,164M,157M,149M,410M,371M,417M
Italy,138M,155M,155M,204M,216M,225M,229M,259M,282M,284M,278M,318M,260M,252M,257M,256M,240M,237M,229M,180M,172M,158M,149M,117M,108M,101M,81.3M,72.4M,59.9M,54.5M,56.6M,53.4M,50.9M,48.2M,46M,42.1M,32.7M,38.3M,41.6M,39.2M
Kazakhstan,,,,,,,,,,,,,,,,,,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,1.81B,2.39B,2.39B,2.39B,2.39B
Kuwait,901M,894M,889M,886M,887M,886M,998M,1.03B,1.18B,1.2B,1.3B,1.29B,1.28B,1.28B,1.28B,1.28B,1.27B,1.27B,1.27B,1.27B,1.33B,1.33B,1.33B,1.34B,1.34B,1.34B,1.52B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B,1.53B
Libya,586M,569M,558M,547M,537M,535M,622M,622M,707M,1.04B,1.03B,1.12B,1.11B,1.1B,1.12B,1.12B,1.12B,1.12B,1.12B,1.12B,1.12B,1.12B,1.29B,1.27B,1.27B,1.13B,1.21B,1.32B,1.32B,1.32B,1.28B,1.32B,1.32B,1.29B,1.29B,1.29B,1.29B,1.29B,1.29B,1.29B
Mexico,1.63B,1.9B,1.9B,1.94B,1.94B,1.93B,1.91B,1.89B,1.85B,1.84B,1.8B,1.79B,1.77B,1.76B,1.73B,1.71B,1.61B,1.6B,758M,767M,744M,710M,378M,375M,373M,364M,346M,332M,320M,302M,315M,321M,321M,310M,289M,217M,176M,166M,161M,161M
Myanmar,82.2M,129M,129M,217M,230M,237M,237M,237M,236M,235M,234M,246M,246M,237M,237M,237M,249M,250M,252M,254M,254M,305M,393M,358M,429M,476M,476M,437M,305M,294M,196M,196M,250M,466M,467M,467M,1.05B,1.05B,1.05B,1.05B
Malaysia,502M,558M,580M,564M,607M,614M,605M,598M,594M,661M,685M,787M,891M,936M,983M,931M,926M,1.01B,995M,957M,957M,1.01B,1.03B,1.01B,988M,1.02B,1.03B,1.02B,1.02B,970M,925M,946M,916M,916M,1000M,902M,852M,852M,852M,852M
