country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,7.95B,7.78B,7.66B,7.54B,8.03B,8.05B,12.7B,12.7B,12.7B,12.7B,12.7B,12.7B,12.7B,12.7B,12.9B,12.8B,12.6B,12.6B,12.8B,12.7B,13.6B,13.5B,17.8B,18.2B,18.1B,18.8B,18.9B,18.9B,18.8B,18.7B,20.6B,21.1B,21.5B,21.5B,21.5B,21.6B,21.4B,21.2B,21.2B,21.2B
Iraq,4.09B,4.36B,8.05B,8.87B,8.87B,8.87B,9.82B,13.6B,13.6B,13.6B,13.6B,13.6B,13.6B,13.6B,13.6B,13.6B,15.3B,15.3B,15.3B,15.3B,15.3B,15.7B,15.7B,15.7B,15.7B,15.7B,15.7B,15.7B,15.7B,15.7B,15.7B,19.5B,19.1B,19.7B,19.5B,19.4B,20.3B,20.1B,19.8B,19.8B
Italy,51.6M,51.6M,56.8M,58.8M,84.7M,86.7M,87.8M,92.9M,109M,104M,104M,113M,87.8M,87.8M,103M,105M,103M,87.8M,86.7M,86.7M,81.6M,77.4M,75.6M,68.9M,63.1M,62.7M,61.4M,62.3M,64M,72M,79.1M,78.8M,84.7M,82.3M,87.6M,84.2M,73.7M,80.8M,78.3M,75.3M
Kazakhstan,,,,,,,,,,,,708M,708M,708M,725M,725M,725M,725M,737M,737M,737M,737M,737M,1.23B,1.23B,1.23B,1.23B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B,4.09B
Kuwait,9.27B,9.24B,9.16B,9.14B,12.6B,12.6B,12.9B,12.9B,12.9B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.2B,13.5B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B,13.8B
Libya,2.77B,3.08B,3.03B,2.97B,2.92B,2.91B,3.11B,3.11B,3.11B,3.11B,3.11B,3.11B,3.11B,3.11B,3.11B,4.02B,4.02B,4.02B,4.02B,4.02B,4.91B,4.91B,4.91B,5.34B,5.34B,5.66B,5.66B,5.96B,6.04B,6.33B,6.42B,6.55B,6.61B,6.6B,6.6B,6.6B,6.6B,6.6B,6.6B,6.6B
Mexico,6.44B,7.77B,7.77B,7.79B,7.69B,7.58B,7.49B,7.38B,7.23B,7.09B,7B,6.95B,6.99B,6.93B,6.79B,6.66B,6.61B,6.52B,2.95B,2.94B,2.75B,2.56B,2.35B,2.19B,2.02B,1.86B,1.75B,1.66B,1.62B,1.62B,1.59B,1.55B,1.56B,1.51B,1.48B,1.09B,985M,877M,791M,791M
Malaysia,198M,196M,220M,252M,262M,259M,249M,250M,261M,252M,260M,480M,523M,368M,352M,342M,329M,332M,292M,290M,290M,362M,389M,413M,453M,449M,369M,467M,472M,496M,487M,510M,503M,518M,491M,412M,387M,387M,387M,387M
Nigeria,2.28B,2.25B,2.28B,2.26B,2.27B,2.26B,2.19B,2.18B,2.18B,2.18B,2.33B,2.73B,2.86B,2.86B,2.86B,2.84B,2.84B,2.84B,3.07B,3.96B,3.96B,4.3B,4.69B,4.81B,4.89B,4.94B,5.07B,5.07B,5.07B,5.07B,5.07B,4.94B,5.07B,5.06B,5.11B,5.06B,5.11B,5.11B,5.04B,5.04B
Norway,539M,539M,521M,667M,677M,805M,886M,905M,1.11B,1.15B,1.18B,1.2B,1.33B,1.3B,1.32B,1.47B,1.59B,1.64B,1.59B,1.49B,1.55B,1.58B,1.43B,1.38B,1.33B,1.32B,1.17B,1.11B,1.02B,965M,928M,939M,1.02B,961M,892M,1.09B,1.04B,1.08B,1.18B,1.16B
Oman,339M,401M,464M,477M,532M,555M,551M,560M,565M,585M,594M,593M,647M,682M,696M,709M,723M,736M,737M,783M,798M,805M,778M,760M,760M,760M,760M,760M,760M,750M,750M,750M,750M,678M,703M,724M,733M,733M,733M,733M
Peru,85.7M,120M,106M,95M,91.4M,80.3M,73.1M,65.5M,116M,116M,112M,112M,109M,109M,113M,110M,106M,103M,128M,121M,124M,134M,130M,127M,150M,147M,150M,153M,153M,153M,169M,165M,194M,221M,192M,162M,167M,134M,117M,117M
Qatar,489M,471M,467M,454M,614M,614M,614M,614M,614M,614M,408M,408M,426M,426M,477M,505M,505M,1.71B,1.84B,1.79B,2.3B,2.3B,3.76B,3.68B,3.66B,3.81B,3.74B,3.73B,3.66B,3.53B,3.37B,3.26B,3.44B,3.42B,3.51B,3.44B,3.44B,3.44B,3.44B,3.44B
Romania,149M,137M,131M,218M,206M,197M,186M,175M,168M,164M,207M,203M,170M,137M,136M,137M,134M,127M,159M,167M,160M,157M,69.3M,67.4M,63.9M,62.5M,65.2M,65.5M,65.5M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M
Russia,,,,,,,,,,,,15.8B,15.8B,15.7B,15.7B,15.5B,15.5B,15.4B,15.4B,15.3B,15.3B,15.2B,15B,14.7B,14.4B,14.2B,14.2B,14.5B,14.5B,14.4B,14.4B,14.4B,14.4B,14.3B,14.1B,14B,14.5B,14.5B,14.6B,14.6B
Saudi Arabia,22.9B,22.9B,22.6B,23B,23.4B,23.4B,23.2B,23.1B,34.8B,35.5B,35.5B,35.6B,35.6B,35.6B,35.7B,35.7B,35.7B,35.7B,35.7B,35.8B,35.8B,35.8B,35.8B,35.8B,36.1B,36B,36B,36B,36B,36.1B,36.1B,36.2B,36.3B,36.3B,36.4B,36.3B,36.3B,40.4B,40.6B,40.6B
Sudan,0,27.3M,54.6M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,40.9M,35.8M,35.8M,35.8M,35.8M,76.8M,76.8M,76.8M,76.8M,76.8M,682M,682M,682M,682M,682M,682M,205M,205M,205M,205M,205M,205M,205M,205M
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477M,477M,477M,477M,477M,477M,477M,477M
Syria,198M,258M,239M,199M,191M,210M,221M,235M,246M,273M,256M,409M,409M,402M,361M,349M,334M,320M,314M,314M,317M,317M,311M,327M,431M,409M,409M,341M,341M,341M,341M,341M,341M,341M,341M,341M,341M,341M,341M,341M
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123M,123M,123M,123M,123M,205M,205M,205M,205M,205M,205M,205M,205M,205M,205M,205M,205M,205M,205M,205M
Thailand,57.2k,2.07M,4.09M,4.09M,7.91M,14.9M,14.2M,14.2M,14.2M,31.5M,35.7M,30M,24.4M,29.7M,31.5M,40.3M,32.9M,40.4M,53M,48.9M,70.2M,79.7M,94.4M,68.2M,71.9M,61.8M,62.9M,62.9M,61.9M,59.3M,60.3M,61.8M,61.2M,63M,55.2M,54.1M,47.7M,44M,39.9M,39.9M
Turkmenistan,,,,,,,,,,,,74.4M,74.4M,74.4M,74.4M,74.4M,74.4M,74.5M,74.5M,74.5M,74.5M,74.5M,74.5M,74.5M,74.5M,74.5M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M,81.8M
Trinidad and Tobago,77.9M,77.9M,86.3M,73.7M,77.7M,83.5M,76.9M,84.5M,83.6M,84.4M,82.1M,78.1M,73.8M,76.4M,76.4M,89.6M,98.6M,96.3M,101M,112M,116M,131M,153M,122M,110M,110M,108M,119M,113M,113M,113M,113M,113M,113M,113M,99.3M,33.1M,33.1M,33.1M,33.1M
Tunisia,297M,340M,334M,343M,248M,243M,239M,235M,244M,246M,237M,54.6M,63.8M,50.3M,46.1M,51.4M,46.4M,42.8M,39.6M,42M,58M,71.7M,68.3M,88.6M,92.8M,76.4M,81.3M,82M,78.7M,58M,58M,58M,58M,58M,58M,58M,58M,58M,58M,58M
United States,4.98B,4.98B,4.78B,4.86B,4.92B,4.96B,4.78B,4.83B,4.78B,4.67B,4.62B,4.38B,4.26B,4.12B,4.04B,4.06B,4.07B,4.16B,3.9B,4.05B,4.15B,4.15B,4.18B,4B,4B,4.08B,4.02B,4.15B,3.87B,4.21B,4.77B,5.43B,6.03B,6.61B,7.5B,6.55B,6.82B,8.35B,9.4B,9.4B
USSR,9.14B,8.59B,8.59B,8.59B,8.59B,8.59B,8.32B,8.05B,8.05B,7.98B,7.97B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,35.8M,35.8M,35.8M,35.8M,35.7M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M,81M
Venezuela,2.66B,2.71B,3.4B,3.53B,3.82B,7.43B,7.57B,7.92B,7.98B,8.05B,8.19B,8.55B,8.64B,8.79B,8.85B,9.05B,9.91B,10.2B,10.4B,10.5B,10.5B,10.6B,10.5B,10.5B,10.9B,10.9B,11.9B,13.6B,23.5B,28.8B,40.4B,40.6B,40.6B,40.7B,40.9B,41B,41.2B,41.3B,41.4B,41.4B
Vietnam,0,0,0,0,0,0,0,2.99M,6.97M,14.9M,27.4M,32.7M,47.7M,81.3M,87.1M,104M,121M,170M,259M,246M,266M,300M,384M,404M,421M,425M,443M,465M,645M,614M,600M,600M,600M,600M,600M,600M,600M,600M,600M,600M
Yemen,0,0,0,0,0,68.2M,68.2M,143M,273M,273M,273M,274M,274M,271M,271M,271M,271M,249M,252M,252M,327M,327M,389M,389M,409M,398M,379M,364M,364M,409M,409M,409M,409M,409M,409M,409M,409M,409M,409M,409M
